Tube,TechnicalReplicate,TimeLapse,Fraction,PlateletCount,PlateletCountPrct,TubeType,Donor,BiologicalReplicate,GraphTube
EDTA separator,TUBE3,T0,PFP,1,0.0059,Non-preservation,EC0031,DONOR9,EDTAS
EDTA separator,TUBE1,T04,WB,NA,NA,Non-preservation,EC0029,DONOR7,EDTAS
EDTA separator,TUBE2,T04,WB,223,1,Non-preservation,EC0030,DONOR8,EDTAS
EDTA separator,TUBE3,T04,WB,183,1,Non-preservation,EC0031,DONOR9,EDTAS
EDTA separator,TUBE1,T04,PRP,121,NA,Non-preservation,EC0029,DONOR7,EDTAS
EDTA separator,TUBE2,T04,PRP,186,0.8341,Non-preservation,EC0030,DONOR8,EDTAS
EDTA separator,TUBE3,T04,PRP,177,0.9672,Non-preservation,EC0031,DONOR9,EDTAS
EDTA separator,TUBE1,T04,PPP,20,#VALUE!,Non-preservation,EC0029,DONOR7,EDTAS
EDTA separator,TUBE2,T04,PPP,38,0.1704,Non-preservation,EC0030,DONOR8,EDTAS
EDTA separator,TUBE3,T04,PPP,26,0.1421,Non-preservation,EC0031,DONOR9,EDTAS
EDTA separator,TUBE1,T04,PFP,0,#VALUE!,Non-preservation,EC0029,DONOR7,EDTAS
EDTA separator,TUBE2,T04,PFP,1,0.0045,Non-preservation,EC0030,DONOR8,EDTAS
EDTA separator,TUBE3,T04,PFP,0,0,Non-preservation,EC0031,DONOR9,EDTAS
EDTA separator,TUBE1,T16,WB,178,1,Non-preservation,EC0029,DONOR7,EDTAS
EDTA separator,TUBE2,T16,WB,213,1,Non-preservation,EC0030,DONOR8,EDTAS
EDTA separator,TUBE3,T16,WB,165,1,Non-preservation,EC0031,DONOR9,EDTAS
EDTA separator,TUBE1,T16,PRP,173,0.9719,Non-preservation,EC0029,DONOR7,EDTAS
EDTA separator,TUBE2,T16,PRP,248,1.1643,Non-preservation,EC0030,DONOR8,EDTAS
EDTA separator,TUBE3,T16,PRP,235,1.4242,Non-preservation,EC0031,DONOR9,EDTAS
EDTA separator,TUBE1,T16,PPP,35,0.1966,Non-preservation,EC0029,DONOR7,EDTAS
EDTA separator,TUBE2,T16,PPP,63,0.2958,Non-preservation,EC0030,DONOR8,EDTAS
EDTA separator,TUBE3,T16,PPP,31,0.1879,Non-preservation,EC0031,DONOR9,EDTAS
EDTA separator,TUBE1,T16,PFP,1,0.0056,Non-preservation,EC0029,DONOR7,EDTAS
EDTA separator,TUBE2,T16,PFP,1,0.0047,Non-preservation,EC0030,DONOR8,EDTAS
EDTA separator,TUBE3,T16,PFP,2,0.0121,Non-preservation,EC0031,DONOR9,EDTAS
Paxgene,TUBE1,T0,WB,368,1,Preservation,EC0028,DONOR6,BCCFDT
Paxgene,TUBE2,T0,WB,150,1,Preservation,EC0026,DONOR4,BCCFDT
Paxgene,TUBE3,T0,WB,177,1,Preservation,EC0027,DONOR5,BCCFDT
Paxgene,TUBE1,T0,PRP,505,1.3723,Preservation,EC0028,DONOR6,BCCFDT
Paxgene,TUBE2,T0,PRP,225,1.5,Preservation,EC0026,DONOR4,BCCFDT
Paxgene,TUBE3,T0,PRP,229,1.2938,Preservation,EC0027,DONOR5,BCCFDT
Paxgene,TUBE1,T0,PPP,169,0.4592,Preservation,EC0028,DONOR6,BCCFDT
Paxgene,TUBE2,T0,PPP,45,0.3,Preservation,EC0026,DONOR4,BCCFDT
Paxgene,TUBE3,T0,PPP,66,0.3729,Preservation,EC0027,DONOR5,BCCFDT
Paxgene,TUBE1,T0,PFP,8,0.0217,Preservation,EC0028,DONOR6,BCCFDT
Paxgene,TUBE2,T0,PFP,4,0.0267,Preservation,EC0026,DONOR4,BCCFDT
Paxgene,TUBE3,T0,PFP,3,0.0169,Preservation,EC0027,DONOR5,BCCFDT
Paxgene,TUBE1,T24,WB,368,1,Preservation,EC0028,DONOR6,BCCFDT
Paxgene,TUBE2,T24,WB,156,1,Preservation,EC0026,DONOR4,BCCFDT
Paxgene,TUBE3,T24,WB,178,1,Preservation,EC0027,DONOR5,BCCFDT
Paxgene,TUBE1,T24,PRP,801,2.1766,Preservation,EC0028,DONOR6,BCCFDT
Paxgene,TUBE2,T24,PRP,311,1.9936,Preservation,EC0026,DONOR4,BCCFDT
Paxgene,TUBE3,T24,PRP,365,2.0506,Preservation,EC0027,DONOR5,BCCFDT
Paxgene,TUBE1,T24,PPP,357,0.9701,Preservation,EC0028,DONOR6,BCCFDT
Paxgene,TUBE2,T24,PPP,84,0.5385,Preservation,EC0026,DONOR4,BCCFDT
Paxgene,TUBE3,T24,PPP,142,0.7978,Preservation,EC0027,DONOR5,BCCFDT
Paxgene,TUBE1,T24,PFP,36,0.0978,Preservation,EC0028,DONOR6,BCCFDT
Paxgene,TUBE2,T24,PFP,10,0.0641,Preservation,EC0026,DONOR4,BCCFDT
Paxgene,TUBE3,T24,PFP,20,0.1124,Preservation,EC0027,DONOR5,BCCFDT
Paxgene,TUBE1,T72,WB,158,1,Preservation,EC0028,DONOR6,BCCFDT
Paxgene,TUBE2,T72,WB,280,1,Preservation,EC0026,DONOR4,BCCFDT
